,,,,,jersey_number,nation,pos,age,min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,game_id
,,,,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
league,season,game,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,1718,2017-08-18 Leganés-Alavés,Alavés,Alexis,4,ESP,CB,32-014,90,0,0,0,0,0,0,0,0,46,0,4,2,0.0,0.0,0.0,0,0,29,38,76.3,0,23,0,0,0,5c28c716
ESP-La Liga,1718,2017-08-18 Leganés-Alavés,Alavés,Alfonso Pedraza,17,ESP,LB,21-131,74,0,0,0,0,0,0,0,0,45,1,2,0,0.0,0.0,0.0,1,0,22,40,55.0,4,21,2,5,4,5c28c716
ESP-La Liga,1718,2017-08-18 Leganés-Alavés,Alavés,Burgui,14,ESP,"RM,FW",23-293,90,0,0,0,0,1,0,0,0,32,0,0,0,0.0,0.0,0.2,5,0,15,22,68.2,1,25,3,3,0,5c28c716
ESP-La Liga,1718,2017-08-18 Leganés-Alavés,Alavés,Carlos Vigaray,2,ESP,RB,22-345,90,0,0,0,0,0,0,0,0,45,1,0,1,0.0,0.0,0.0,1,0,18,38,47.4,3,16,3,1,0,5c28c716
ESP-La Liga,1718,2017-08-18 Leganés-Alavés,Alavés,Christian Santos,9,VEN,FW,29-147,90,0,0,0,0,1,1,0,0,24,0,0,1,0.0,0.0,0.0,0,0,11,18,61.1,0,5,0,0,0,5c28c716
ESP-La Liga,1718,2017-08-18 Leganés-Alavés,Alavés,Fernando Pacheco,1,ESP,GK,25-092,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,21,37,56.8,0,17,0,0,0,5c28c716
ESP-La Liga,1718,2017-08-18 Leganés-Alavés,Alavés,Héctor Hernández,20,ESP,LB,26-087,16,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0,5c28c716
ESP-La Liga,1718,2017-08-18 Leganés-Alavés,Alavés,Ibai Gómez,11,ESP,LM,27-280,90,0,0,0,0,1,0,0,0,40,0,1,1,0.0,0.0,0.0,1,0,20,29,69.0,4,20,0,1,1,5c28c716
ESP-La Liga,1718,2017-08-18 Leganés-Alavés,Alavés,Manu García,19,ESP,CM,31-114,90,0,0,0,1,0,0,0,0,48,7,2,4,0.8,0.0,0.0,1,0,26,34,76.5,1,23,1,0,0,5c28c716
ESP-La Liga,1718,2017-08-18 Leganés-Alavés,Alavés,Rodrigo Ely,12,BRA,CB,23-288,90,0,0,0,0,1,1,0,0,70,2,2,2,0.0,0.0,0.0,0,0,37,56,66.1,0,32,0,0,0,5c28c716
ESP-La Liga,1718,2017-08-18 Leganés-Alavés,Alavés,Rubén Sobrino,7,ESP,FW,25-078,61,0,0,0,0,1,1,0,0,29,4,0,1,0.1,0.1,0.0,0,0,10,15,66.7,1,12,1,5,2,5c28c716
ESP-La Liga,1718,2017-08-18 Leganés-Alavés,Alavés,Tomás Pina Isla,18,ESP,CM,29-308,28,0,0,0,0,1,0,0,0,16,1,0,0,0.1,0.1,0.0,0,0,11,13,84.6,2,13,0,0,0,5c28c716
ESP-La Liga,1718,2017-08-18 Leganés-Alavés,Alavés,Wakaso,22,GHA,CM,27-024,62,0,0,0,0,1,0,1,0,46,2,3,1,0.0,0.0,0.0,3,0,26,37,70.3,2,18,0,0,0,5c28c716
ESP-La Liga,1718,2017-08-18 Leganés-Alavés,Alavés,Óscar Romero,10,PAR,"RM,FW",25-045,29,0,0,0,0,1,1,0,0,18,0,0,1,0.0,0.0,0.1,3,0,4,6,66.7,0,9,0,3,1,5c28c716
ESP-La Liga,1718,2017-08-18 Leganés-Alavés,Leganés,Alexander,11,ARG,LW,28-309,90,0,0,0,0,2,0,0,0,36,1,1,2,0.1,0.1,0.2,5,0,19,27,70.4,2,18,0,1,1,5c28c716
ESP-La Liga,1718,2017-08-18 Leganés-Alavés,Leganés,Diego Rico,15,ESP,LB,24-176,90,0,0,0,0,0,0,0,0,71,3,4,0,0.0,0.0,0.0,0,0,40,62,64.5,3,26,1,1,1,5c28c716
ESP-La Liga,1718,2017-08-18 Leganés-Alavés,Leganés,Erik Morán,4,ESP,DM,26-085,26,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,10,14,71.4,1,4,0,0,0,5c28c716
