,,,,,jersey_number,nation,pos,age,min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,game_id
,,,,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
league,season,game,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,1718,2017-08-04 Monaco-Toulouse,Monaco,Allan Saint-Maximin,12,FRA,RM,20-145,16,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.3,2,0,3,4,75.0,0,5,1,0,0,a68e623d
FRA-Ligue 1,1718,2017-08-04 Monaco-Toulouse,Monaco,Danijel Subašić,1,CRO,GK,32-281,90,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,0,0,11,15,73.3,0,3,0,0,0,a68e623d
FRA-Ligue 1,1718,2017-08-04 Monaco-Toulouse,Monaco,Djibril Sidibé,19,FRA,RB,25-006,90,0,0,0,0,2,0,0,0,82,0,0,1,0.1,0.1,0.1,6,0,63,77,81.8,10,46,4,1,0,a68e623d
FRA-Ligue 1,1718,2017-08-04 Monaco-Toulouse,Monaco,Fabinho,2,BRA,CM,23-285,90,0,0,0,0,0,0,0,0,78,5,0,0,0.0,0.0,0.1,5,3,58,70,82.9,9,50,1,3,1,a68e623d
FRA-Ligue 1,1718,2017-08-04 Monaco-Toulouse,Monaco,Guido Carrillo,11,ARG,"FW,RM",26-071,37,0,0,0,0,1,1,0,0,19,0,0,0,0.3,0.3,0.0,2,0,7,13,53.8,0,5,0,1,1,a68e623d
FRA-Ligue 1,1718,2017-08-04 Monaco-Toulouse,Monaco,Jemerson,5,BRA,CB,24-345,90,1,0,0,0,1,1,0,0,56,1,1,2,0.2,0.2,0.0,0,0,42,46,91.3,2,36,1,0,0,a68e623d
FRA-Ligue 1,1718,2017-08-04 Monaco-Toulouse,Monaco,Jorge,6,BRA,LB,21-129,90,0,1,0,0,0,0,0,0,68,5,1,0,0.0,0.0,0.5,1,0,46,56,82.1,5,33,4,2,1,a68e623d
FRA-Ligue 1,1718,2017-08-04 Monaco-Toulouse,Monaco,João Moutinho,8,POR,CM,30-330,90,0,2,0,0,0,0,1,0,83,2,0,2,0.0,0.0,0.4,6,2,65,78,83.3,9,46,1,1,1,a68e623d
FRA-Ligue 1,1718,2017-08-04 Monaco-Toulouse,Monaco,Kamil Glik,25,POL,CB,29-182,90,1,0,0,0,1,1,0,0,56,0,1,1,0.2,0.2,0.0,0,0,38,50,76.0,4,29,1,0,0,a68e623d
FRA-Ligue 1,1718,2017-08-04 Monaco-Toulouse,Monaco,Kylian Mbappé,10,FRA,"FW,LM",18-227,74,0,0,0,0,3,2,0,0,39,1,1,0,0.2,0.2,0.0,3,1,19,29,65.5,3,27,6,6,4,a68e623d
FRA-Ligue 1,1718,2017-08-04 Monaco-Toulouse,Monaco,Radamel Falcao,9,COL,FW,31-175,86,1,0,0,0,4,1,0,0,32,0,0,0,0.9,0.9,0.0,0,0,20,25,80.0,1,24,1,2,1,a68e623d
FRA-Ligue 1,1718,2017-08-04 Monaco-Toulouse,Monaco,Rony Lopes,20,POR,RM,21-219,53,0,0,0,0,1,0,0,0,31,0,1,0,0.0,0.0,0.1,4,0,22,27,81.5,4,22,3,0,0,a68e623d
FRA-Ligue 1,1718,2017-08-04 Monaco-Toulouse,Monaco,Thomas Lemar,27,FRA,"LM,RM",21-265,90,0,0,0,0,4,1,0,0,67,1,1,2,0.2,0.2,0.3,4,0,42,56,75.0,6,44,2,5,1,a68e623d
FRA-Ligue 1,1718,2017-08-04 Monaco-Toulouse,Monaco,Youri Tielemans,17,BEL,FW,20-089,4,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.1,1,0,4,4,100.0,1,3,0,0,0,a68e623d
FRA-Ligue 1,1718,2017-08-04 Monaco-Toulouse,Toulouse,Alban Lafont,40,CIV,GK,18-193,90,0,0,0,0,0,0,0,0,41,0,1,0,0.0,0.0,0.0,0,0,14,36,38.9,0,11,0,0,0,a68e623d
FRA-Ligue 1,1718,2017-08-04 Monaco-Toulouse,Toulouse,Alexis Blin,27,FRA,CM,20-322,90,0,0,0,0,0,0,0,0,23,3,2,2,0.0,0.0,0.0,1,0,11,16,68.8,1,9,0,0,0,a68e623d
