,,,,,jersey_number,nation,pos,age,min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,game_id
,,,,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
league,season,game,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,1718,2017-08-18 Bayern Munich-Leverkusen,Bayer Leverkusen,Admir Mehmedi,14,SUI,"RM,LW",26-155,90,1,0,0,0,2,2,0,0,63,3,1,1,0.2,0.2,0.2,6,0,44,52,84.6,5,37,4,2,0,b13970b2
GER-Bundesliga,1718,2017-08-18 Bayern Munich-Leverkusen,Bayer Leverkusen,Aleksandar Dragović,6,AUT,CB,26-165,45,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,27,31,87.1,1,13,1,0,0,b13970b2
GER-Bundesliga,1718,2017-08-18 Bayern Munich-Leverkusen,Bayer Leverkusen,Benjamin Henrichs,39,GER,"CB,RB",20-176,90,0,0,0,0,0,0,0,0,57,3,0,0,0.0,0.0,0.0,0,0,39,51,76.5,5,36,4,0,0,b13970b2
GER-Bundesliga,1718,2017-08-18 Bayern Munich-Leverkusen,Bayer Leverkusen,Bernd Leno,1,GER,GK,25-167,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,24,34,70.6,0,16,0,0,0,b13970b2
GER-Bundesliga,1718,2017-08-18 Bayern Munich-Leverkusen,Bayer Leverkusen,Charles Aránguiz,20,CHI,"DM,CM",28-123,60,0,0,0,0,0,0,1,0,46,1,0,1,0.0,0.0,0.0,1,0,38,43,88.4,3,21,0,0,0,b13970b2
GER-Bundesliga,1718,2017-08-18 Bayern Munich-Leverkusen,Bayer Leverkusen,Dominik Kohr,21,GER,"CM,DM",23-199,90,0,0,0,0,3,0,1,0,62,3,1,0,0.6,0.6,0.1,6,0,49,54,90.7,11,35,6,0,0,b13970b2
GER-Bundesliga,1718,2017-08-18 Bayern Munich-Leverkusen,Bayer Leverkusen,Jonathan Tah,4,GER,CB,21-188,90,0,0,0,0,0,0,0,0,48,2,6,1,0.0,0.0,0.0,1,0,38,39,97.4,4,26,0,0,0,b13970b2
GER-Bundesliga,1718,2017-08-18 Bayern Munich-Leverkusen,Bayer Leverkusen,Julian Brandt,10,GER,LW,21-108,45,0,1,0,0,3,1,0,0,25,0,0,0,0.5,0.5,0.1,6,1,13,19,68.4,2,16,0,1,1,b13970b2
GER-Bundesliga,1718,2017-08-18 Bayern Munich-Leverkusen,Bayer Leverkusen,Karim Bellarabi,38,GER,"RW,AM",27-132,90,0,0,0,0,6,0,0,0,76,4,2,4,0.3,0.3,0.5,5,0,49,53,92.5,6,40,9,9,5,b13970b2
GER-Bundesliga,1718,2017-08-18 Bayern Munich-Leverkusen,Bayer Leverkusen,Kevin Kampl,44,SVN,CM,26-313,30,0,0,0,0,1,0,0,0,36,1,0,0,0.0,0.0,0.0,2,0,30,34,88.2,5,27,2,1,0,b13970b2
GER-Bundesliga,1718,2017-08-18 Bayern Munich-Leverkusen,Bayer Leverkusen,Kevin Volland,31,GER,FW,25-019,90,0,0,0,0,1,1,0,0,32,0,0,1,0.1,0.1,0.0,2,0,17,21,81.0,1,23,2,2,1,b13970b2
GER-Bundesliga,1718,2017-08-18 Bayern Munich-Leverkusen,Bayer Leverkusen,Leon Bailey,9,JAM,RW,20-009,45,0,0,0,0,1,0,0,0,23,0,0,2,0.0,0.0,0.0,1,0,12,17,70.6,5,14,3,1,0,b13970b2
GER-Bundesliga,1718,2017-08-18 Bayern Munich-Leverkusen,Bayer Leverkusen,Sven Bender,5,GER,CB,28-113,45,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,19,22,86.4,1,17,0,0,0,b13970b2
GER-Bundesliga,1718,2017-08-18 Bayern Munich-Leverkusen,Bayer Leverkusen,Wendell,18,BRA,"LM,LB",24-029,90,0,0,0,0,2,0,0,0,51,1,0,0,0.1,0.1,0.0,1,1,38,45,84.4,3,26,0,0,0,b13970b2
GER-Bundesliga,1718,2017-08-18 Bayern Munich-Leverkusen,Bayern Munich,Arjen Robben,10,NED,RW,33-207,30,0,0,0,0,1,1,0,0,20,0,0,1,0.3,0.3,0.3,2,0,12,16,75.0,2,14,4,5,3,b13970b2
