,,,,,jersey_number,nation,pos,age,min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,game_id
,,,,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
league,season,game,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,1718,2017-08-19 Hellas Verona-Napoli,Hellas Verona,Alessio Cerci,10,ITA,RW,30-027,71,0,0,0,0,2,1,0,0,15,0,0,0,0.1,0.1,0.0,2,0,6,11,54.5,0,12,2,1,1,3a95d279
ITA-Serie A,1718,2017-08-19 Hellas Verona-Napoli,Hellas Verona,Alex Ferrari,28,ITA,CB,23-049,90,0,0,0,0,0,0,0,0,58,2,2,4,0.0,0.0,0.0,2,1,42,50,84.0,3,17,1,1,1,3a95d279
ITA-Serie A,1718,2017-08-19 Hellas Verona-Napoli,Hellas Verona,Daniel Bessa,24,ITA,FW,24-217,90,0,0,0,0,1,0,0,0,55,1,0,0,0.0,0.0,0.2,6,1,41,47,87.2,6,30,3,1,1,3a95d279
ITA-Serie A,1718,2017-08-19 Hellas Verona-Napoli,Hellas Verona,Daniele Verde,7,ITA,LW,21-060,90,0,0,0,0,3,1,0,0,42,0,2,0,0.1,0.1,0.0,0,0,26,36,72.2,1,20,0,2,2,3a95d279
ITA-Serie A,1718,2017-08-19 Hellas Verona-Napoli,Hellas Verona,Giampaolo Pazzini,11,ITA,RW,33-017,19,1,0,1,1,1,1,0,0,4,0,0,0,0.8,0.1,0.0,1,0,1,2,50.0,0,0,0,0,0,3a95d279
ITA-Serie A,1718,2017-08-19 Hellas Verona-Napoli,Hellas Verona,Marcel Büchel,77,LIE,CM,26-154,90,0,0,0,0,0,0,0,0,69,4,2,1,0.0,0.0,0.0,2,0,46,56,82.1,2,21,0,0,0,3a95d279
ITA-Serie A,1718,2017-08-19 Hellas Verona-Napoli,Hellas Verona,Martín Cáceres,26,URU,RB,30-134,90,0,0,0,0,3,0,0,0,51,1,1,0,0.2,0.2,0.0,0,0,33,40,82.5,4,11,1,0,0,3a95d279
ITA-Serie A,1718,2017-08-19 Hellas Verona-Napoli,Hellas Verona,Mattia Valoti,27,ITA,CB,23-347,5,0,0,0,0,1,0,0,0,7,1,0,0,0.1,0.1,0.0,0,0,5,6,83.3,1,2,0,0,0,3a95d279
ITA-Serie A,1718,2017-08-19 Hellas Verona-Napoli,Hellas Verona,Mattia Zaccagni,20,ITA,LM,22-064,63,0,0,0,0,0,0,0,0,18,1,2,0,0.0,0.0,0.0,0,0,15,16,93.8,2,9,0,0,0,3a95d279
ITA-Serie A,1718,2017-08-19 Hellas Verona-Napoli,Hellas Verona,Mohamed Fares,93,ALG,LM,21-185,27,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.1,2,0,11,16,68.8,1,9,0,1,0,3a95d279
ITA-Serie A,1718,2017-08-19 Hellas Verona-Napoli,Hellas Verona,Nícolas Andrade,1,BRA,GK,29-129,90,0,0,0,0,0,0,0,0,52,0,0,0,0.0,0.0,0.0,0,0,25,49,51.0,0,19,0,0,0,3a95d279
ITA-Serie A,1718,2017-08-19 Hellas Verona-Napoli,Hellas Verona,Rômulo,2,ITA,RM,30-089,90,0,0,0,0,0,0,1,0,49,0,3,1,0.0,0.0,0.2,4,0,37,43,86.0,5,20,3,0,0,3a95d279
ITA-Serie A,1718,2017-08-19 Hellas Verona-Napoli,Hellas Verona,Samuel Souprayen,26,FRA,LB,28-182,90,0,0,0,0,0,0,0,0,59,0,3,1,0.0,0.0,0.0,1,0,39,50,78.0,2,17,2,0,0,3a95d279
ITA-Serie A,1718,2017-08-19 Hellas Verona-Napoli,Hellas Verona,Thomas Heurtaux,75,FRA,CB,29-047,85,0,0,0,0,0,0,1,0,55,0,1,0,0.0,0.0,0.0,1,0,41,49,83.7,1,20,0,1,0,3a95d279
ITA-Serie A,1718,2017-08-19 Hellas Verona-Napoli,Napoli,Allan,5,BRA,"LM,RB",26-223,25,0,0,0,0,0,0,0,0,22,1,0,0,0.0,0.0,0.0,1,0,16,19,84.2,1,10,1,1,1,3a95d279
ITA-Serie A,1718,2017-08-19 Hellas Verona-Napoli,Napoli,Amadou Diawara,42,GUI,CM,20-033,90,0,0,0,0,1,0,0,0,101,3,1,0,0.0,0.0,0.0,1,0,90,97,92.8,7,56,0,1,1,3a95d279
